event_tapology_id,event_tapology_url,event_name,event_date_raw,event_date,promotion_name,promotion_tapology_id,promotion_tapology_url
89385,https://www.tapology.com/fightcenter/events/89385-frissina-vs-landetta,Frissina vs. Landetta,1998-Nov 27,1998-11-27,,,
89384,https://www.tapology.com/fightcenter/events/89384-smith-vs-barnes,Smith vs. Barnes,1998-Oct 30,1998-10-30,,,
89383,https://www.tapology.com/fightcenter/events/89383-johnson-vs-rolon,Johnson vs. Rolon,1998-Jul 26,1998-07-26,,,
89382,https://www.tapology.com/fightcenter/events/89382-cawley-vs-bey,Cawley vs. Bey,1998-Jan 16,1998-01-16,,,
89381,https://www.tapology.com/fightcenter/events/89381-stewart-vs-maskaev,Stewart vs. Maskaev,1997-Sep 27,1997-09-27,,,
68597,https://www.tapology.com/fightcenter/events/68597-taktarov-vs-hill,Taktarov vs. Hill,1997-Sep  6,1997-09-06,,,
89380,https://www.tapology.com/fightcenter/events/89380-reed-vs-harrison,Reed vs. Harrison,1994-Aug 27,1994-08-27,,,
89378,https://www.tapology.com/fightcenter/events/89378-rangel-vs-richardson,Rangel vs. Richardson,1990-Nov 12,1990-11-12,,,
89377,https://www.tapology.com/fightcenter/events/89377-espinoza-vs-paez,Espinoza vs. Paez,1990-Apr  7,1990-04-07,,,
76332,https://www.tapology.com/fightcenter/events/76332-ajkf-inspiring-wars-1,AJKF: Inspiring Wars 1,1990-Jan 20,1990-01-20,AJKF,3772,https://www.tapology.com/fightcenter/promotions/3772-all-japan-kickboxing-federation-ajkf
76314,https://www.tapology.com/fightcenter/events/76314-ajkf-century-3,AJKF: Clash Of The Century 3,1989-May 14,1989-05-14,AJKF,3772,https://www.tapology.com/fightcenter/promotions/3772-all-japan-kickboxing-federation-ajkf
89376,https://www.tapology.com/fightcenter/events/89376-dryer-vs-owens,Dryer vs. Owens,1989-Mar  2,1989-03-02,,,
89375,https://www.tapology.com/fightcenter/events/89375-salud-vs-adames,Salud vs. Adames,1989-Feb 28,1989-02-28,,,
89374,https://www.tapology.com/fightcenter/events/89374-pedroza-vs-stephens,Pedroza vs. Stephens,1989-Jan 14,1989-01-14,,,
133631,https://www.tapology.com/fightcenter/events/133631-ragin-fighting-championships-4,Ragin FC 4,2025-Dec  5,2025-12-05,Ragin Fighting Championship,5817,https://www.tapology.com/fightcenter/promotions/5817-ragin-fighting-championship
7788,https://www.tapology.com/fightcenter/events/7788-ring-rulers-super-brawl-2,Ring Rulers,2009-Apr  4,2009-04-04,RR,3486,https://www.tapology.com/fightcenter/promotions/3486-ring-rulers-rr
74823,https://www.tapology.com/fightcenter/events/74823-kimbo-vs-porter,Kimbo vs. Porter,2012-May 12,2012-05-12,HDP,1551,https://www.tapology.com/fightcenter/promotions/1551-hd-promotions-hdp
34779,https://www.tapology.com/fightcenter/events/34779-the-ultimate-fighter-season-10-heavyweights,The Ultimate Fighter Season 10,2009-Jun 10,2009-06-10,TUF,1375,https://www.tapology.com/fightcenter/promotions/1375-the-ultimate-fighter-tuf
69428,https://www.tapology.com/fightcenter/events/69428-k-1-burning-2004,K-1: Burning 2004,2004-Feb 15,2004-02-15,K-1,68,https://www.tapology.com/fightcenter/promotions/68-k-1-premium-dynamite-k-1
119197,https://www.tapology.com/fightcenter/events/119197-ural-fc-8-asbarov-v-boardman,Ural FC 8: Asbarov v Boardman,2024-Oct 16,2024-10-16,URAL,4432,https://www.tapology.com/fightcenter/promotions/4432-ural-fighting-championship-ural
106105,https://www.tapology.com/fightcenter/events/106105-ural-fc-4,Ural FC 4: Batyrgaziev vs. Luces,2023-Oct 19,2023-10-19,URAL,4432,https://www.tapology.com/fightcenter/promotions/4432-ural-fighting-championship-ural
8985,https://www.tapology.com/fightcenter/events/8985-russian-cities-cup-2010,Russian Cities Cup 2010,2010-Nov 18,2010-11-18,,,
6172,https://www.tapology.com/fightcenter/events/6172-m-1-emelianenko-cup-2008,M-1: Emelianenko Cup 2008,2008-May 15,2008-05-15,M-1,24,https://www.tapology.com/fightcenter/promotions/24-m-1-global-m-1
9689,https://www.tapology.com/fightcenter/events/9689-fne-round-13-impact,FNE Round 13,2011-Mar 11,2011-03-11,FNE,3524,https://www.tapology.com/fightcenter/promotions/3524-fight-night-entertainment-fne
75546,https://www.tapology.com/fightcenter/events/75546-shoot-boxing-invade-3,Shoot Boxing,2000-May 21,2000-05-21,SB,1949,https://www.tapology.com/fightcenter/promotions/1949-shoot-boxing-sb
5045,https://www.tapology.com/fightcenter/events/5045-rings-japan-fighting-extension-4,Rings Japan,1997-Jun 21,1997-06-21,RINGS,236,https://www.tapology.com/fightcenter/promotions/236-fighting-network-rings
3617,https://www.tapology.com/fightcenter/events/3617-rings-japan-mega-battle-96-round-4,Rings Japan,1997-Jan 22,1997-01-22,RINGS,236,https://www.tapology.com/fightcenter/promotions/236-fighting-network-rings
64769,https://www.tapology.com/fightcenter/events/64769-rings-japan-maelstrom-4,Rings Japan,1996-Jun 29,1996-06-29,RINGS,236,https://www.tapology.com/fightcenter/promotions/236-fighting-network-rings
115591,https://www.tapology.com/fightcenter/events/115591-williams-jr-vs-cuello,Williams Jr. vs. Cuello,2009-Mar 21,2009-03-21,TKOBP,5610,https://www.tapology.com/fightcenter/promotions/5610-tko-boxing-promotions-tkobp
9322,https://www.tapology.com/fightcenter/events/9322-pancrase-177-2007-neo-blood-tournament-round-2,Pancrase 177,2007-May  5,2007-05-05,Pancrase,144,https://www.tapology.com/fightcenter/promotions/144-pancrase-hybrid-wrestling
13237,https://www.tapology.com/fightcenter/events/13237-pancrase-174-2007-neo-blood-tournament-round-1,Pancrase 174,2007-Mar 25,2007-03-25,Pancrase,144,https://www.tapology.com/fightcenter/promotions/144-pancrase-hybrid-wrestling
2653,https://www.tapology.com/fightcenter/events/2653-pancrase-198-changing-tour-2,Pancrase 198,2009-Apr  5,2009-04-05,Pancrase,144,https://www.tapology.com/fightcenter/promotions/144-pancrase-hybrid-wrestling
2408,https://www.tapology.com/fightcenter/events/2408-pancrase-147-spiral-3,Pancrase 147,2005-Apr 10,2005-04-10,Pancrase,144,https://www.tapology.com/fightcenter/promotions/144-pancrase-hybrid-wrestling
73503,https://www.tapology.com/fightcenter/events/73503-rizin-25,RIZIN 25,2020-Nov 21,2020-11-21,RFF,1561,https://www.tapology.com/fightcenter/promotions/1561-rizin-fighting-federation-rff
48315,https://www.tapology.com/fightcenter/events/48315-one-championship-warriors-of-the-world,ONE Championship,2017-Dec  9,2017-12-09,ONE,61,https://www.tapology.com/fightcenter/promotions/61-one-fighting-championship-ofc
41523,https://www.tapology.com/fightcenter/events/41523-one-championship-defending-honor,ONE Championship,2016-Nov 11,2016-11-11,ONE,61,https://www.tapology.com/fightcenter/promotions/61-one-fighting-championship-ofc
39104,https://www.tapology.com/fightcenter/events/39104-one-championship-ascent-to-power,ONE Championship,2016-May  6,2016-05-06,ONE,61,https://www.tapology.com/fightcenter/promotions/61-one-fighting-championship-ofc
69762,https://www.tapology.com/fightcenter/events/69762-k-1-max-world-max-2005-round-1,K-1 MAX: World MAX 2005 (Round 1),2005-May  4,2005-05-04,K-1,68,https://www.tapology.com/fightcenter/promotions/68-k-1-premium-dynamite-k-1
2378,https://www.tapology.com/fightcenter/events/2378-shooto-treasure-hunt-4,Shooto: Treasure Hunt 4,2002-Mar 13,2002-03-13,Shooto,72,https://www.tapology.com/fightcenter/promotions/72-shooto
12608,https://www.tapology.com/fightcenter/events/12608-bellator-65,Bellator 65,2012-Apr 13,2012-04-13,BFC,2,https://www.tapology.com/fightcenter/promotions/2-bellator-fighting-championships-bfc
