id,tapology_promotion_id,tapology_slug,name,baseline_strength,sport_type
41e07f3c-dfc5-5089-b65b-2a25e4f71b95,3792,3792-don-king-promotions-dkp,Don King Promotions,0.68000,boxing
8e251d9c-938c-5384-898d-4242b9d0ca41,6421,6421-absolute-championship-of-brazilian-jiu-jitsu-acbjj,Absolute Championship of Brazilian Jiu-Jitsu,0.68000,grappling
ad97e3cd-4f5c-59bb-ae19-d8933bf71cd5,5513,5513-ufc-fight-pass-invitational-fpi,UFC Fight Pass Invitational,0.68000,grappling
653e4070-b739-56b6-9e9a-01346d97b81b,2555,2555-absolute-championship-akhmat-aca,Absolute Championship Akhmat,0.68000,mma
998b066f-9260-56d4-8c5a-b6b47b040d38,972,972-fight-club-berkut-fcb,Absolute Championship Berkut,0.67500,mma
adf3db7a-6a46-5d12-b54c-04f9bd87bd82,3741,3741-eagle-fighting-championship-efc,Eagle FC,0.67300,mma
c378f3ab-1d99-5de0-8b08-10f73e8f951e,4353,4353-road-to-ufc-rufc,Road to UFC,0.67100,mma
1375ec5b-f49f-5a46-b52f-1d421ed77105,2724,2724-dibella-entertainment-dbe,DiBella Entertainment,0.67000,boxing
6b5da543-6b1f-54cc-b535-7040c5406692,2640,2640-fight-2-win-promotions-ftw,Fight 2 Win Promotions,0.67000,grappling
12f0e7c3-d772-5eba-8a96-9f47484f9ed1,2285,2285-quintet-mma-qmma,Quintet,0.67000,grappling
d18209d5-bdb5-5a36-98aa-7005d1ac6998,2682,2682-bare-knuckle-fighting-championship-bnfc,Bare Knuckle Fighting Championship,0.67000,knuckle
e4767648-a7fd-59ce-94b7-bf0c5d70704a,55,55-cage-warriors-fighting-championship-cwfc,Cage Warriors Fighting Championship,0.66500,mma
39e06a72-9352-592b-8f4e-6eae5ca0386b,1964,1964-okatgon-mma-okmma,Oktagon MMA,0.66300,mma
73c14a76-bc65-5278-9040-b2746e73c751,144,144-pancrase-hybrid-wrestling,Pancrase,0.66200,mma
8cce73e0-efc4-55ff-9a30-7c4619b4e830,2622,2622-sauerland-promotion-sp,Sauerland Promotion,0.66000,boxing
246e1aa8-fe9d-5972-be6d-c97936ca2138,3364,3364-dynamite-fighting-show-dfs,Dynamite Fighting Show,0.65300,kickboxing
77ced68f-5fea-50e0-b497-1c5901de9855,991,991-kunlun-fight-kf,Kunlun Fight,0.65300,mma
1efc1347-d175-5fa9-b671-166332df05bc,308,308-road-fighting-championship-rfc,Road Fighting Championship,0.65100,mma
f65e123d-9268-58fd-9c45-d7955063fd82,2745,2745-bjj-stars-bjjs,BJJ Stars,0.65000,grappling
685cf364-4358-52a6-8efd-026caad0a37f,3250,3250-shin-nihon-kickboxing-association-snka,Shin Nihon Kickboxing Association,0.64700,kickboxing
00606603-94ac-5ec6-8b35-296b70c943eb,2526,2526-main-events-boxing-meb,Main Events Boxing,0.64000,boxing
fbad894b-3825-5efb-b7a5-b9733a945c16,3613,3613-bjj-bet-bjjb,BJJ BET,0.64000,grappling
8e862975-4458-502d-9e8e-fc8a91dba196,3212,3212-bjj-fanatics-bjjf,BJJ Fanatics,0.64000,grappling
5de6fae8-a887-5332-a2ca-4abd497b056e,2757,2757-copa-podio-cp,Copa Podio,0.64000,grappling
0efc094a-311b-54f5-9bc6-a784ac3a24ce,2999,2999-jitzking-promotions-jkp,JitzKing Promotions,0.64000,grappling
0f93570b-eb9d-50e3-9b45-b51e61664df4,3057,3057-kinektic-kn,Kinektic,0.64000,grappling
2815776f-0e3d-5fdc-893d-333c401514ad,2673,2673-polaris-ppjji,Polaris,0.64000,grappling
0ddf8a29-f801-5af4-aa7f-027e9b2c8fb1,3892,3892-submission-circus-sc,Submission Circus,0.64000,grappling
19fb6ba8-c6fc-55e1-bc1d-1e636e7a2d6e,1311,1311-akhmat-fight-club-afc,Akhmat Fight Club,0.64000,mma
31cdd3b2-2ef3-5d4a-82cd-6c1d0b26d191,72,72-shooto,Shooto,0.63400,mma
3c3319a0-dcde-5f81-bf89-4efab1d2bb1c,3121,3121-ares-fighting-championship-afc,ARES Fighting Championship,0.63300,mma
7f23d210-8f18-5575-bc21-b3a498aa7174,20,20-british-association-of-mixed-martial-arts-bamma,BAMMA,0.63200,mma
1c44d64e-dded-59fa-b91b-3121064a4e02,293,293-rumble-on-the-rock-rotr,Rumble on the Rock,0.63100,mma
a09f745c-3e1a-5ca5-8a22-796de0352545,216,216-fight-nights-russia-fnr,Fight Nights Global,0.62400,mma
c8577233-495f-5832-9764-d81888c9a4f5,1486,1486-combate-americas-camma,Combate Americas,0.62300,mma
4e77c2e5-e1e3-533e-9114-22e519186f54,632,632-rumble-on-the-rock-hawaii-rotr,Rumble on the Rock,0.62100,mma
3a0df578-e4f5-538f-b816-f436d928d11a,3586,3586-russian-boxing-federation-rbf,Russian Boxing Federation,0.62000,boxing
aea4e77d-e4c7-5708-86d0-6e342a20c275,2861,2861-submission-underground-sug,Submission Underground,0.62000,grappling
495199d5-338b-5ed6-a6b9-cd088a492140,3377,3377-international-lethwei-federation-japan-ilfj,International Lethwei Federation Japan,0.62000,lethwei
fd3d5dde-ece1-5e43-8bd7-cf0926c48755,2594,2594-teiken-promotions-tp,Teiken Promotions,0.61500,boxing
bdedbe16-f2e0-5c5e-aa17-5fdab7108aa0,111,111-deep-international-deep,DEEP,0.61400,mma
71e03f68-0438-53c2-8041-4adfa2f9a222,2626,2626-mayweather-promotion-mp,Mayweather Promotion$,0.61300,boxing
6b4ea3d2-fc1b-5fc9-b265-f40d8de9467a,2593,2593-360-promotions-360p,360 Promotions,0.61200,boxing
06c9dd30-3e11-5edd-b4ee-5a9629851014,455,455-german-mma-championship-gmc,German MMA Championship,0.61200,mma
87745e2e-d4c8-5459-9e80-4224d86a661b,2452,2452-bodog-fight-bf,Bodog Fight,0.61100,mma
c5a48396-b1af-50a2-bf57-3a3f71f6ef00,2715,2715-flograppling-fg,FloGrappling,0.61000,grappling
6430b79c-61fe-56be-ae23-28d82126759d,2975,2975-rise-invitational-ri,Rise Invitational,0.61000,grappling
e9b54f94-2bb1-5e8f-a4fe-1fb7d30b7db7,2741,2741-uae-jiu-jitsu-federation-uaejjf,UAE Jiu-Jitsu Federation,0.61000,grappling
fc0aac7a-38ba-54e7-8f2b-0471d0c4ea63,3376,3376-nihon-kickboxing-nbk,Nihon Kickboxing,0.61000,kickboxing
b786a607-971c-5afa-bb21-d9f5dfb50788,24,24-m-1-global-m-1,M-1 Global,0.60600,mma
cd5573d4-92b4-5948-a40a-39b6b6d1aaf7,1359,1359-khk-mma-khk,KHK MMA,0.60500,mma
69e82a73-f246-5e08-a9e0-26b5b1f18b77,112,112-universal-reality-combat-championship-urcc,Universal Reality Combat Championship,0.60400,mma
6612bdc5-41fc-5502-8d97-3b131a4a8996,77,77-world-championship-fighting-wcf,World Championship Fighting,0.60300,mma
68d9b82e-533e-5ea8-93bc-d4d90f6ab4fa,8,8-xtreme-fighting-championships-xfc,Xtreme Fighting Championships,0.60200,mma
d1602ff2-6ffb-58d2-b9cd-ca4d697d6004,1375,1375-the-ultimate-fighter-tuf,The Ultimate Fighter,0.60100,mma
7ab10040-6c9a-5b4c-b559-4add089695cb,1321,1321-venator-fighting-championship-vfc,Venator Fighting Championship,0.60050,mma
6e2ca1c7-6e69-505d-b529-0e9573f7bc22,2571,2571-mtk-global-mtk,MTK Global,0.60000,boxing
11fbad9e-ba20-506a-87f7-cda0dc95b086,5287,5287-combat-jiu-jitsu-worlds-cjjw,Combat Jiu-Jitsu Worlds,0.60000,combat_jj
954eff07-55a2-5573-8d5f-48af1ef64689,3304,3304-lion-fight-promotions-lfp,Lion Fight Promotions,0.60000,muay
4091d685-f6dc-5613-b1d0-865fc8207447,1452,1452-world-championship-muay-thai-wck,World Championship Muay Thai,0.60000,muay
bc43b614-62d9-5518-9be7-ec2a3a595c66,6307,6307-real-american-freestyle-raf,Real American Freestyle,0.60000,wrestling
846952d4-cf4f-5df2-a4e6-29424c9a5823,3139,3139-max-fc-mfc,Max FC,0.59400,kickboxing
d12588ad-68cc-5b70-b951-b60bf597675d,3251,3251-bigbang-kickboxing-bbk,Bigbang Kickboxing,0.59200,kickboxing
079f0514-f90c-5152-a27d-e3629dc8ac9b,3934,3934-shlemenko-fighting-championship-sfc,Shlemenko Fighting Championship,0.59200,mma
03087e20-2f48-5aa5-9b10-34534c7c8757,529,529-xtreme-fighting-championships-australia-xfc-australia,Xtreme Fighting Championships,0.59100,mma
754568dc-1cee-560b-9f6f-974c4e5eb520,4635,4635-federacao-paulista-de-jiu-jitsu-fpjj,Federação Paulista de Jiu Jitsu,0.59000,grappling
f9622c13-65b6-5793-8f49-4c351cd8e3f1,3703,3703-gromda-fight-club-gfc,Gromda Fight Club,0.59000,knuckle
f08a3936-5d3e-5579-b301-ca2cfa6eb50f,1782,1782-brave-combat-federation-bcf,BRAVE Combat Federation,0.58500,mma
