uuid,event_id,name,date,location,num_fights,url
c39ab39d-ac3b-5d3d-a250-996df0eaa883,579fcdfcabd23a7b,UFC Fight Night: Brown vs Silva,2014-05-10,"Cincinnati, Ohio, USA",13,http://www.ufcstats.com/event-details/579fcdfcabd23a7b
c53b914a-0887-5e91-aa81-5a63795a5eeb,9ca265dfe8323db3,UFC 173: Barao vs Dillashaw,2014-05-24,"Las Vegas, Nevada, USA",12,http://www.ufcstats.com/event-details/9ca265dfe8323db3
d314d87e-080a-5ea3-ac37-148a904fad7d,59aaf2730b84698a,UFC Fight Night: Miocic vs Maldonado,2014-05-31,"Sao Paulo, Brazil",12,http://www.ufcstats.com/event-details/59aaf2730b84698a
ac66dcf8-db7f-5565-9889-f7bb0c07cbe7,b757c73f443d4fca,UFC Fight Night: Munoz vs Mousasi,2014-05-31,"Berlin, Germany",10,http://www.ufcstats.com/event-details/b757c73f443d4fca
1a57ea26-5da4-5e76-a363-5650c7a642c6,1fcfc3709fe58151,UFC Fight Night: Henderson vs Khabilov,2014-06-07,"Albuquerque, New Mexico, USA",11,http://www.ufcstats.com/event-details/1fcfc3709fe58151
d89e1bc1-75fb-5470-97c8-8983babf758c,5b5307450405abf0,UFC 174: Johnson vs Bagautinov,2014-06-14,"Vancouver, British Columbia, Canada",11,http://www.ufcstats.com/event-details/5b5307450405abf0
6130c3bd-0320-53eb-ac15-7bc9800b4be4,c0ed7b208197e8de,UFC Fight Night: Swanson vs Stephens,2014-06-28,"San Antonio, Texas, USA",11,http://www.ufcstats.com/event-details/c0ed7b208197e8de
ce7bb1db-546f-5843-bc27-312758750a63,ac9521250dc1a14c,UFC Fight Night: Te Huna vs Marquardt,2014-06-28,"Auckland, New Zealand",10,http://www.ufcstats.com/event-details/ac9521250dc1a14c
ea7d0fee-9cc5-558b-b7ca-70f9f38cd920,53adf5b845d91e4a,UFC 175: Weidman vs Machida,2014-07-05,"Las Vegas, Nevada, USA",10,http://www.ufcstats.com/event-details/53adf5b845d91e4a
9cf1cd1a-3fad-5eea-978a-314a650d3a98,1c5879330d42255f,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,2014-07-06,"Las Vegas, Nevada, USA",11,http://www.ufcstats.com/event-details/1c5879330d42255f
8e35e525-c5b2-5ba0-921f-8a2a1bd3b673,79ded75550efc139,UFC Fight Night: Cowboy vs Miller,2014-07-16,"Atlantic City, New Jersey, USA",11,http://www.ufcstats.com/event-details/79ded75550efc139
92eda948-8f0e-5683-a771-a6d003c47604,073eee4e62f0d988,UFC Fight Night: McGregor vs Brandao,2014-07-19,"Dublin, Leinster, Ireland",10,http://www.ufcstats.com/event-details/073eee4e62f0d988
0d6b995d-4242-5677-8eea-0735d12dd2b3,05fbfe628658c538,UFC on FOX: Lawler vs Brown,2014-07-26,"San Jose, California, USA",12,http://www.ufcstats.com/event-details/05fbfe628658c538
d60d688a-d901-5eb3-976f-925a36ceb409,fd7acf42bd6e7e95,UFC Fight Night: Bader vs Saint Preux,2014-08-16,"Bangor, Maine, USA",10,http://www.ufcstats.com/event-details/fd7acf42bd6e7e95
05776b60-7e9c-5027-8a4e-f73ce6d7b7c1,770b9d4813c25902,UFC Fight Night: Bisping vs Le,2014-08-23,"Macau, China",10,http://www.ufcstats.com/event-details/770b9d4813c25902
e069bc12-9ef7-549c-8487-392d693ecbcc,063649e21bc9d6d5,UFC Fight Night: Henderson vs Dos Anjos,2014-08-23,"Tulsa, Oklahoma, USA",11,http://www.ufcstats.com/event-details/063649e21bc9d6d5
681d159f-382b-5ab9-9f01-56f40f70a223,269d103c96a4c3a5,UFC 177: Dillashaw vs Soto,2014-08-30,"Sacramento, California, USA",8,http://www.ufcstats.com/event-details/269d103c96a4c3a5
f380cff7-b975-5a70-95dc-5927b509f1b4,9bcfb40dbcd50568,UFC Fight Night: Jacare vs Mousasi,2014-09-05,"Ledyard, Connecticut, USA",9,http://www.ufcstats.com/event-details/9bcfb40dbcd50568
24a747b7-a7b7-54b8-946c-9427cb933aa5,a71feb7ea7592a71,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13,"Brasilia, Distrito Federal, Brazil",11,http://www.ufcstats.com/event-details/a71feb7ea7592a71
3188b47d-228e-5100-ad04-ba8b45413e54,2dea80c069847321,UFC Fight Night: Hunt vs Nelson,2014-09-20,"Saitama, Japan",12,http://www.ufcstats.com/event-details/2dea80c069847321
936c1a41-fe4d-5307-8abe-f333ee626d64,3bb030257966b022,UFC 178: Johnson vs Cariaso,2014-09-27,"Las Vegas, Nevada, USA",11,http://www.ufcstats.com/event-details/3bb030257966b022
f9e3be8c-ca64-5795-bf78-b5e058af2854,0313bf497de9c470,UFC Fight Night: MacDonald vs Saffiedine,2014-10-04,"Halifax, Nova Scotia, Canada",12,http://www.ufcstats.com/event-details/0313bf497de9c470
f4a59de5-75d1-542a-a97b-183a93534f89,8dc4f34c1f50d00d,UFC Fight Night: Nelson vs Story,2014-10-04,"Stockholm, Sweden",11,http://www.ufcstats.com/event-details/8dc4f34c1f50d00d
2103bae7-1972-51dd-8c32-a70db2032269,53f02bbc41d99432,UFC 179: Aldo vs Mendes 2,2014-10-25,"Rio de Janeiro, Brazil",11,http://www.ufcstats.com/event-details/53f02bbc41d99432
65528770-59d8-52a7-baa9-5dd5b37b5530,371a1c91b24dec2b,UFC Fight Night: Rockhold vs Bisping,2014-11-07,"Sydney, New South Wales, Australia",11,http://www.ufcstats.com/event-details/371a1c91b24dec2b
9dbbe63c-fcb3-533c-b9b1-368552366018,6ca68b636fbc1f18,UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08,"Uberlandia, Minas Gerais, Brazil",10,http://www.ufcstats.com/event-details/6ca68b636fbc1f18
5b8713c0-0b70-5d68-ab18-19005af45d4f,59851163aaf1aed8,UFC 180: Werdum vs Hunt,2014-11-15,"Mexico City, Distrito Federal, Mexico",11,http://www.ufcstats.com/event-details/59851163aaf1aed8
3f7bed14-dfdd-5a3c-a6ed-27c3350810cd,155a02a8b4311057,UFC Fight Night: Edgar vs Swanson,2014-11-22,"Austin, Texas, USA",12,http://www.ufcstats.com/event-details/155a02a8b4311057
